sentiment,date,text,score
|neutral|,5/18/17," Focus On Weekly - Market Update by Vince Vora for May 18th, 2017 #stocks $AAPL $AMZN $NFLX $GOOGL $TSLA $F $FB https://t.co/ZexlPEZeP2",0
,,,
|neutral|,5/18/17, RT @GregCameron16: Down Moves -4.3% $SOXX $KRE -3.8% $KBE -3.4% $FDN $AAPL -3% $XBI -2.9% $XLF $JETS $EWZ -2.7% $XLK -2.5% $IWM $QQQ -2.3%â€_,0
,,,
|neutral|,5/18/17, RT @LeftCoastTrades: https://t.co/oskWh9mdwf Verified $136.96 profit in $AAPL scalp,0
,,,
|neutral|,5/18/17, $AAPL - Statement of Changes in Beneficial Ownership (4) https://t.co/MKPfffvVu4,0
,,,
|neutral|,5/18/17, $AAPL - Statement of Changes in Beneficial Ownership (4) https://t.co/rWo4Ea50fU,0
,,,
|neutral|,5/18/17, $AAPL - Statement of Changes in Beneficial Ownership (4) https://t.co/bKPWoxYptP,0
,,,
|neutral|,5/18/17, $AAPL - Statement of Changes in Beneficial Ownership (4) https://t.co/TiPzoKlLEJ,0
,,,
|positive|,5/18/17, RT @msttrader: My Latest:  Big Tech: Top or Buying Opportunity? $AAPL $AMZN $QQQ https://t.co/hsnynyLFQZ,5
,,,
|negative|,5/18/17, https://t.co/PKp5SZrSct Verified $74.60 loss in $AAPL AM scalp at the open,-3
,,,
|positive|,5/18/17," RT @tdarling1: $AAPL CEO Tim Cook test-drove a device that tracks his blood sugar, hinting at Apple's interest https://t.co/q4Bhh2nhRM #diaâ€_",1
,,,
|neutral|,5/18/17, https://t.co/oskWh9mdwf Verified $136.96 profit in $AAPL scalp,0
,,,
|neutral|,5/18/17, Now What Do We Do About Apple? https://t.co/ll5iyhXTZP $CHL $AAPL,0
,,,
|positive|,5/18/17, @fhoro I would've said $FB and $AAPL due to their largely singularly-focused revenue model vis-a-vis news feed adveâ€_ https://t.co/tW5DbXbU4a,2
,,,
|neutral|,5/18/17, RT @AppleReporter: Apple Launching Three New Laptops in June (Report) https://t.co/0R95Gr3xxy $AAPL $DIA $QQQ $XLK #MacBookPro #macbook httâ€_,0
,,,
|neutral|,5/18/17, #Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock,0
,,,
|neutral|,5/18/17, RT @ecommerceshares: $AAPL $QQQ $SPY The new upcoming iPads may single-handedly drive the indices another 5% up. Everyone needs and wants oâ€_,0
,,,
|positive|,5/18/17," RT @K1ng_Sur0: $AAPL RSI very low and Stochastic showing over sold, looks like the BULLS are about to take control for a strong rally.",4
,,,
|neutral|,5/18/17, RT @HowieRegay: CNBC: TipRanks shows AAPL just got its most bullish forecast https://t.co/BgYCOVZhO8 #technology $AAPL https://t.co/h9aOiQUâ€_,0
,,,
|neutral|,5/18/17, The Neatest Little Guide to Stock Market Investing: https://t.co/pgTRFzPHuJ #stocks #investing $SPY $AAPL $TSLA $AMZN,0
,,,
|positive|,5/18/17," RT @tdarling1: $AAPL CEO Tim Cook test-drove a device that tracks his blood sugar, hinting at Apple's interest https://t.co/q4Bhh2nhRM #diaâ€_",1
,,,
|neutral|,5/18/17," RT @MicroFundy: $AAPL's cash balance is so large, that if it had invested it all into $AMZN at its IPO, it would now be all the cash in theâ€_",0
,,,
|positive|,5/18/17," At Google I/O yesterday, developers cheered the Assistant coming to the iPhone. That was premature... https://t.co/5Vvv5b5kwI $GOOGL $AAPL",2
,,,
|neutral|,5/18/17, #Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock,0
,,,
|positive|,5/18/17," RT @tdarling1: $AAPL CEO Tim Cook test-drove a device that tracks his blood sugar, hinting at Apple's interest https://t.co/q4Bhh2nhRM #diaâ€_",1
,,,
